Filename: mp-616577.cif  Ca3BCNCl2  appeared: 2 times
Space Group: Pnma no. 62
Orientation Matrix:
4.09	0.00	0.00
-0.00	11.78	0.00
0.00	0.00	14.69
Atoms Locations:
Sr	[0.75     0.691382 0.326716]
Sr	[0.25     0.130769 0.883299]
Sr	[0.75     0.869231 0.116701]
Sr	[0.25     0.369231 0.383299]
Sr	[0.75     0.058386 0.354508]
Sr	[0.25     0.558386 0.145492]
Sr	[0.75     0.441614 0.854508]
Sr	[0.25     0.941614 0.645492]
Sr	[0.75     0.808618 0.826716]
Sr	[0.75     0.630769 0.616701]
Sr	[0.25     0.191382 0.173284]
Sr	[0.25     0.308618 0.673284]
B	[0.25     0.616529 0.745335]
B	[0.75     0.116529 0.754665]
B	[0.75     0.383471 0.254665]
B	[0.25     0.883471 0.245335]
C	[0.75     0.234692 0.780687]
C	[0.25     0.765308 0.219313]
C	[0.25     0.734692 0.719313]
C	[0.75     0.265308 0.280687]
N	[0.25     0.999125 0.252145]
N	[0.75     0.499125 0.247855]
N	[0.25     0.500875 0.752145]
N	[0.75     0.000875 0.747855]
Cl	[0.25     0.890987 0.962131]
Cl	[0.25     0.138999 0.499573]
Cl	[0.25     0.361001 0.999573]
Cl	[0.75     0.109013 0.037869]
Cl	[0.75     0.390987 0.537869]
Cl	[0.75     0.861001 0.500427]
Cl	[0.25     0.609013 0.462131]
Cl	[7.50000e-01 6.38999e-01 4.27000e-04]

